headline,url,image
"In Delhi&rsquo;s dowry bazaar, everything sells from Audis to kidney and cash",http://www.hindustantimes.com/interactives/delhi-dowry-bazaar/,http://www.hindustantimes.com/rf/image_size_300x169/HT/p2/2017/08/14/Pictures/_0667f534-80bd-11e7-b63c-9d281adafd5e.PNG
Every country&rsquo;s fastest man in one race,http://www.hindustantimes.com/static/olympics/every-country-fastest-man-in-one-race-100m/,http://www.hindustantimes.com/static/olympics/every-country-fastest-man-in-one-race-100m/img/leadimg.png
How hard is it to find a good government school in your neighbourhood?,http://www.hindustantimes.com/class-of-2018/how-hard-is-it-to-find.html,http://www.hindustantimes.com/class-of-2018/img/social-01.png
What&rsquo;s it like to get trolled all day long?,http://www.hindustantimes.com/interactives/lets-talk-about-trolls/whats-it-like-to-get-trolled-all-day-long/,http://www.hindustantimes.com/interactives/lets-talk-about-trolls/resources/images/troller.jpg
Electoral Trusts: How some of India&rsquo;s biggest companies route money to political parties,http://www.hindustantimes.com/interactives/electoral-trusts-explained/,http://www.hindustantimes.com/interactives/electoral-trusts-explained/img/cover-image.png
"Rohingya villages burnt to the ground in Myanmar, sparking one of world&rsquo;s worst refugee crises",http://www.hindustantimes.com/interactives/rohingya-villages-burning-myanmar-rakhine/,http://www.hindustantimes.com/rf/image_size_960x540/HT/p2/2017/09/06/Pictures/bangladesh-myanmar-unrest-rohingya-refugee_a0e8bf90-92d2-11e7-afc5-62fc49bb3ae4.jpg
Bihar&rsquo;s scary new flood,http://www.hindustantimes.com/interactives/bihar-floods-2017/,http://www.hindustantimes.com/interactives/bihar-floods-2017/assets/lead-img.jpg
"Every Hindi film song by Lata Mangeshkar, in one graphic",http://www.hindustantimes.com/static/lata-mangeshkar-every-hindi-film-song-one-graphic/,http://www.hindustantimes.com/static/lata-mangeshkar-every-hindi-film-song-one-graphic/img/lata.png
